"DateTime","Last Month","This Month"
"2020-02-01 00:00:00",0.87,1.19
"2020-02-01 01:00:00",0.66,0.99
"2020-02-01 02:00:00",0.72,0.59
"2020-02-01 03:00:00",0.77,0.63
"2020-02-01 04:00:00",0.74,0.57
"2020-02-01 05:00:00",0.7,0.53
"2020-02-01 06:00:00",0.82,1.03
"2020-02-01 07:00:00",0.97,0.75
"2020-02-01 08:00:00",1.78,1.11
"2020-02-01 09:00:00",1.59,0.63
"2020-02-01 10:00:00",0.74,1.31
"2020-02-01 11:00:00",1.38,0.74
"2020-02-01 12:00:00",1.44,0.59
"2020-02-01 13:00:00",1.79,0.82
"2020-02-01 14:00:00",3.55,1.26
"2020-02-01 15:00:00",2.28,1.26
"2020-02-01 16:00:00",0.65,3.06
"2020-02-01 17:00:00",0.62,0.97
"2020-02-01 18:00:00",0.84,1.32
"2020-02-01 19:00:00",1.8,1.06
"2020-02-01 20:00:00",3.13,1.14
"2020-02-01 21:00:00",1.18,1.76
"2020-02-01 22:00:00",1.03,1.38
"2020-02-01 23:00:00",0.6,1.07
"2020-02-02 00:00:00",0.59,0.86
"2020-02-02 01:00:00",0.7,0.66
"2020-02-02 02:00:00",0.64,0.48
"2020-02-02 03:00:00",0.66,0.48
"2020-02-02 04:00:00",0.78,0.6
"2020-02-02 05:00:00",0.76,0.47
"2020-02-02 06:00:00",1.04,0.68
"2020-02-02 07:00:00",0.92,0.92
"2020-02-02 08:00:00",1.68,2.12
"2020-02-02 09:00:00",1.08,2.27
"2020-02-02 10:00:00",1.25,1.86
"2020-02-02 11:00:00",1.21,0.69
"2020-02-02 12:00:00",1.11,0.72
"2020-02-02 13:00:00",3.68,1.66
"2020-02-02 14:00:00",1.73,2.4
"2020-02-02 15:00:00",1.1,2.21
"2020-02-02 16:00:00",1.56,1.28
"2020-02-02 17:00:00",1.33,0.93
"2020-02-02 18:00:00",1.03,1.24
"2020-02-02 19:00:00",0.87,1.21
"2020-02-02 20:00:00",1.94,1.31
"2020-02-02 21:00:00",1.74,1.15
"2020-02-02 22:00:00",0.65,2.39
"2020-02-02 23:00:00",0.66,0.63
"2020-02-03 00:00:00",0.69,0.67
