"DateTime","Last Month","This Month"
"2020-01-01 00:00:00",1.37,0.87
"2020-01-01 01:00:00",0.8,0.66
"2020-01-01 02:00:00",0.76,0.72
"2020-01-01 03:00:00",0.67,0.77
"2020-01-01 04:00:00",0.67,0.74
"2020-01-01 05:00:00",0.74,0.7
"2020-01-01 06:00:00",0.79,0.82
"2020-01-01 07:00:00",0.94,0.97
"2020-01-01 08:00:00",0.86,1.78
"2020-01-01 09:00:00",0.81,1.59
"2020-01-01 10:00:00",0.46,0.74
"2020-01-01 11:00:00",0.51,1.38
"2020-01-01 12:00:00",0.72,1.44
"2020-01-01 13:00:00",0.93,1.79
"2020-01-01 14:00:00",0.66,3.55
"2020-01-01 15:00:00",0.65,2.28
"2020-01-01 16:00:00",4.67,0.65
"2020-01-01 17:00:00",1.98,0.62
"2020-01-01 18:00:00",2.43,0.84
"2020-01-01 19:00:00",0.64,1.8
"2020-01-01 20:00:00",0.83,3.13
"2020-01-01 21:00:00",2.39,1.18
"2020-01-01 22:00:00",1.25,1.03
"2020-01-01 23:00:00",0.49,0.6
"2020-01-02 00:00:00",0.5,0.59
"2020-01-02 01:00:00",0.54,0.7
"2020-01-02 02:00:00",0.59,0.64
"2020-01-02 03:00:00",0.49,0.66
"2020-01-02 04:00:00",0.49,0.78
"2020-01-02 05:00:00",1.02,0.76
"2020-01-02 06:00:00",1.33,1.04
"2020-01-02 07:00:00",0.52,0.92
"2020-01-02 08:00:00",1.33,1.68
"2020-01-02 09:00:00",0.48,1.08
"2020-01-02 10:00:00",0.45,1.25
"2020-01-02 11:00:00",1.01,1.21
"2020-01-02 12:00:00",0.88,1.11
"2020-01-02 13:00:00",0.51,3.68
"2020-01-02 14:00:00",0.42,1.73
"2020-01-02 15:00:00",0.42,1.1
"2020-01-02 16:00:00",0.52,1.56
"2020-01-02 17:00:00",0.54,1.33
"2020-01-02 18:00:00",1.7,1.03
"2020-01-02 19:00:00",1,0.87
"2020-01-02 20:00:00",0.87,1.94
"2020-01-02 21:00:00",0.77,1.74
"2020-01-02 22:00:00",0.78,0.65
"2020-01-02 23:00:00",0.52,0.66
"2020-01-03 00:00:00",0.55,0.69
"2020-01-03 01:00:00",0.61,0.67
"2020-01-03 02:00:00",0.51,0.58
"2020-01-03 03:00:00",0.49,0.61
"2020-01-03 04:00:00",0.55,0.77
"2020-01-03 05:00:00",0.89,1.23
"2020-01-03 06:00:00",1.26,1.18
"2020-01-03 07:00:00",0.53,1.02
"2020-01-03 08:00:00",1.02,1.23
"2020-01-03 09:00:00",0.64,0.99
"2020-01-03 10:00:00",0.62,2.25
"2020-01-03 11:00:00",0.58,2.35
"2020-01-03 12:00:00",0.51,2.08
"2020-01-03 13:00:00",0.5,3.38
"2020-01-03 14:00:00",0.62,2.05
"2020-01-03 15:00:00",0.6,1.24
"2020-01-03 16:00:00",1.3,1.18
"2020-01-03 17:00:00",0.65,0.82
"2020-01-03 18:00:00",0.8,0.94
"2020-01-03 19:00:00",0.78,2.31
"2020-01-03 20:00:00",0.66,1.46
"2020-01-03 21:00:00",0.57,1.63
"2020-01-03 22:00:00",0.65,0.74
"2020-01-03 23:00:00",0.84,0.65
"2020-01-04 00:00:00",0.56,0.59
"2020-01-04 01:00:00",0.52,0.62
"2020-01-04 02:00:00",0.62,0.67
"2020-01-04 03:00:00",0.62,0.58
"2020-01-04 04:00:00",0.53,0.6
"2020-01-04 05:00:00",1.01,1.08
"2020-01-04 06:00:00",0.72,1.15
"2020-01-04 07:00:00",0.53,1.66
"2020-01-04 08:00:00",0.89,2.16
"2020-01-04 09:00:00",0.42,1.94
"2020-01-04 10:00:00",0.54,0.97
"2020-01-04 11:00:00",0.56,0.84
"2020-01-04 12:00:00",0.53,0.82
"2020-01-04 13:00:00",0.52,1.13
"2020-01-04 14:00:00",0.43,1.16
"2020-01-04 15:00:00",0.43,1.22
"2020-01-04 16:00:00",0.5,1.18
"2020-01-04 17:00:00",0.56,1.25
"2020-01-04 18:00:00",0.71,1.2
"2020-01-04 19:00:00",0.54,1.26
"2020-01-04 20:00:00",0.62,1.1
"2020-01-04 21:00:00",0.68,0.7
"2020-01-04 22:00:00",0.69,0.78
"2020-01-04 23:00:00",0.61,0.62
"2020-01-05 00:00:00",2.08,0.8
"2020-01-05 01:00:00",2.03,0.61
"2020-01-05 02:00:00",0.56,0.57
"2020-01-05 03:00:00",0.51,0.67
"2020-01-05 04:00:00",0.53,0.58
"2020-01-05 05:00:00",1.12,0.76
"2020-01-05 06:00:00",0.7,1.75
"2020-01-05 07:00:00",0.49,1.31
"2020-01-05 08:00:00",1.07,3.56
"2020-01-05 09:00:00",0.54,1.74
"2020-01-05 10:00:00",0.49,1.99
"2020-01-05 11:00:00",0.42,0.59
"2020-01-05 12:00:00",0.54,0.57
"2020-01-05 13:00:00",0.64,0.71
"2020-01-05 14:00:00",0.52,1.29
"2020-01-05 15:00:00",0.55,1.33
"2020-01-05 16:00:00",0.55,0.88
"2020-01-05 17:00:00",0.46,0.7
"2020-01-05 18:00:00",0.68,0.79
"2020-01-05 19:00:00",0.85,1.56
"2020-01-05 20:00:00",2.62,3.5
"2020-01-05 21:00:00",1.98,0.66
"2020-01-05 22:00:00",0.66,0.67
"2020-01-05 23:00:00",0.6,0.66
"2020-01-06 00:00:00",0.69,0.56
"2020-01-06 01:00:00",0.64,0.6
"2020-01-06 02:00:00",0.57,0.67
"2020-01-06 03:00:00",0.57,0.56
"2020-01-06 04:00:00",0.68,0.58
"2020-01-06 05:00:00",0.72,1.32
"2020-01-06 06:00:00",0.72,0.98
"2020-01-06 07:00:00",0.53,0.89
"2020-01-06 08:00:00",0.59,0.78
"2020-01-06 09:00:00",0.59,0.71
"2020-01-06 10:00:00",0.49,0.81
"2020-01-06 11:00:00",0.49,0.61
"2020-01-06 12:00:00",0.57,0.62
"2020-01-06 13:00:00",0.62,0.95
"2020-01-06 14:00:00",0.6,0.73
"2020-01-06 15:00:00",0.6,1.02
"2020-01-06 16:00:00",0.56,1.12
"2020-01-06 17:00:00",0.5,0.97
"2020-01-06 18:00:00",0.76,0.79
"2020-01-06 19:00:00",1.12,0.98
"2020-01-06 20:00:00",0.97,2.46
"2020-01-06 21:00:00",1.93,3.3
"2020-01-06 22:00:00",1.35,1.03
"2020-01-06 23:00:00",1.89,0.79
"2020-01-07 00:00:00",0.72,0.68
"2020-01-07 01:00:00",0.65,0.69
"2020-01-07 02:00:00",0.58,0.78
"2020-01-07 03:00:00",0.58,0.67
"2020-01-07 04:00:00",0.69,0.8
"2020-01-07 05:00:00",0.65,1.76
"2020-01-07 06:00:00",0.58,1.59
"2020-01-07 07:00:00",0.66,0.66
"2020-01-07 08:00:00",0.98,1.49
"2020-01-07 09:00:00",1.36,1.19
"2020-01-07 10:00:00",1.75,0.73
"2020-01-07 11:00:00",0.74,0.66
"2020-01-07 12:00:00",0.97,0.86
"2020-01-07 13:00:00",1.54,0.78
"2020-01-07 14:00:00",1.49,0.73
"2020-01-07 15:00:00",1.62,0.69
"2020-01-07 16:00:00",1.25,0.67
"2020-01-07 17:00:00",4.04,0.76
"2020-01-07 18:00:00",6.36,0.87
"2020-01-07 19:00:00",4.11,1.26
"2020-01-07 20:00:00",3.79,0.9
"2020-01-07 21:00:00",1.21,1.62
"2020-01-07 22:00:00",0.53,0.79
"2020-01-07 23:00:00",0.63,0.68
"2020-01-08 00:00:00",0.61,0.66
"2020-01-08 01:00:00",0.52,0.72
"2020-01-08 02:00:00",0.56,0.99
"2020-01-08 03:00:00",0.63,0.67
"2020-01-08 04:00:00",0.58,0.59
"2020-01-08 05:00:00",0.51,1.41
"2020-01-08 06:00:00",0.48,0.81
"2020-01-08 07:00:00",0.66,0.68
"2020-01-08 08:00:00",0.9,1.6
"2020-01-08 09:00:00",0.9,1.51
"2020-01-08 10:00:00",0.67,0.67
"2020-01-08 11:00:00",1.47,0.67
"2020-01-08 12:00:00",0.83,0.67
"2020-01-08 13:00:00",0.67,0.69
"2020-01-08 14:00:00",1.39,0.67
"2020-01-08 15:00:00",0.99,0.8
"2020-01-08 16:00:00",0.9,0.69
"2020-01-08 17:00:00",0.8,0.81
"2020-01-08 18:00:00",1.15,0.98
"2020-01-08 19:00:00",0.92,1
"2020-01-08 20:00:00",3.05,1.95
"2020-01-08 21:00:00",2.6,0.8
"2020-01-08 22:00:00",0.67,0.7
"2020-01-08 23:00:00",0.74,0.84
"2020-01-09 00:00:00",0.67,0.82
"2020-01-09 01:00:00",0.68,0.74
"2020-01-09 02:00:00",0.58,0.62
"2020-01-09 03:00:00",0.59,0.62
"2020-01-09 04:00:00",0.63,0.68
"2020-01-09 05:00:00",0.57,0.69
"2020-01-09 06:00:00",0.59,0.66
"2020-01-09 07:00:00",0.57,0.72
"2020-01-09 08:00:00",0.69,0.61
"2020-01-09 09:00:00",0.52,0.55
"2020-01-09 10:00:00",0.52,0.6
"2020-01-09 11:00:00",0.6,0.59
