,DateTime,Temp,Wind,Humidity,Barometer,Visibility
0,2019-11-01 01:00:00,38.0,5.0,79.0,30.4,10.0
1,2019-11-01 02:00:00,38.0,0.0,79.0,30.4,10.0
2,2019-11-01 03:00:00,37.0,0.0,86.0,30.4,10.0
3,2019-11-01 04:00:00,36.0,4.909090909090909,85.0,30.39,10.0
4,2019-11-01 05:00:00,36.0,4.909090909090909,89.0,30.39,10.0
5,2019-11-01 06:00:00,35.0,7.0,92.0,30.4,10.0
6,2019-11-01 07:00:00,35.0,7.0,92.0,30.41,10.0
7,2019-11-01 08:00:00,35.0,6.0,92.0,30.42,10.0
8,2019-11-01 09:00:00,44.0,6.0,73.0,30.42,10.0
9,2019-11-01 10:00:00,49.0,8.0,61.0,30.41,10.0
10,2019-11-01 11:00:00,52.0,9.0,50.0,30.41,10.0
11,2019-11-01 12:00:00,55.0,7.0,51.0,30.39,10.0
12,2019-11-01 13:00:00,57.0,6.0,51.0,30.35,10.0
13,2019-11-01 14:00:00,59.0,8.0,48.0,30.31,10.0
14,2019-11-01 15:00:00,59.0,0.0,46.0,30.28,10.0
15,2019-11-01 16:00:00,61.0,3.0,44.0,30.25,10.0
16,2019-11-01 17:00:00,62.0,5.0,44.0,30.24,10.0
17,2019-11-01 18:00:00,62.0,3.0,48.0,30.24,10.0
18,2019-11-01 19:00:00,58.0,5.0,58.0,30.24,10.0
19,2019-11-01 20:00:00,56.0,7.0,67.0,30.26,10.0
20,2019-11-01 21:00:00,54.0,5.0,72.0,30.28,10.0
21,2019-11-01 22:00:00,53.0,5.0,74.0,30.29,10.0
22,2019-11-01 23:00:00,52.0,3.0,77.0,30.29,10.0
23,2019-11-02 00:00:00,46.0,3.0,93.0,30.29,10.0
24,2019-11-02 01:00:00,49.0,3.0,86.0,30.29,10.0
25,2019-11-02 02:00:00,47.0,3.0,90.0,30.31,10.0
26,2019-11-02 03:00:00,47.0,3.0,90.0,30.32,10.0
27,2019-11-02 04:00:00,45.0,0.0,97.0,30.32,10.0
28,2019-11-02 05:00:00,46.0,5.0,93.0,30.32,10.0
29,2019-11-02 06:00:00,45.0,3.0,97.0,30.33,10.0
30,2019-11-02 07:00:00,43.0,0.0,97.0,30.34,8.0
31,2019-11-02 08:00:00,43.0,0.0,97.0,30.36,9.0
32,2019-11-02 09:00:00,50.0,5.0,93.0,30.38,10.0
33,2019-11-02 10:00:00,57.0,8.0,67.0,30.4,10.0
34,2019-11-02 11:00:00,61.0,10.0,50.0,30.4,10.0
35,2019-11-02 12:00:00,65.0,15.0,39.0,30.39,10.0
36,2019-11-02 13:00:00,67.0,17.0,33.0,30.36,10.0
37,2019-11-02 14:00:00,68.0,8.0,33.0,30.34,10.0
38,2019-11-02 15:00:00,66.0,9.0,34.0,30.32,10.0
39,2019-11-02 16:00:00,67.0,12.0,33.0,30.31,10.0
40,2019-11-02 17:00:00,66.0,7.0,36.0,30.3,10.0
41,2019-11-02 18:00:00,65.0,6.0,40.0,30.29,10.0
42,2019-11-02 19:00:00,54.0,0.0,67.0,30.3,10.0
43,2019-11-02 20:00:00,51.0,3.0,77.0,30.31,10.0
44,2019-11-02 21:00:00,48.0,3.0,89.0,30.3,10.0
45,2019-11-02 22:00:00,48.0,0.0,86.0,30.31,10.0
46,2019-11-02 23:00:00,47.0,0.0,86.0,30.3,10.0
47,2019-11-03 00:00:00,45.0,0.0,93.0,30.3,10.0
48,2019-11-03 01:00:00,44.0,0.0,96.0,30.3,10.0
49,2019-11-03 02:00:00,43.0,0.0,97.0,30.29,10.0
50,2019-11-03 03:00:00,43.0,0.0,97.0,30.28,10.0
51,2019-11-03 04:00:00,41.0,0.0,100.0,30.28,10.0
52,2019-11-03 05:00:00,41.0,3.0,96.0,30.27,10.0
53,2019-11-03 06:00:00,41.0,0.0,96.0,30.27,10.0
54,2019-11-03 07:00:00,41.0,0.0,96.0,30.28,6.0
55,2019-11-03 08:00:00,50.0,3.0,83.0,30.29,10.0
56,2019-11-03 09:00:00,58.0,9.0,62.0,30.29,10.0
57,2019-11-03 10:00:00,63.0,7.0,50.0,30.29,10.0
58,2019-11-03 11:00:00,65.0,8.0,49.0,30.27,10.0
59,2019-11-03 12:00:00,67.0,6.0,49.0,30.24,10.0
60,2019-11-03 13:00:00,68.0,9.0,47.0,30.19,10.0
61,2019-11-03 14:00:00,69.0,6.0,49.0,30.16,10.0
62,2019-11-03 15:00:00,70.0,10.0,49.0,30.13,10.0
63,2019-11-03 16:00:00,68.0,10.0,49.0,30.12,10.0
64,2019-11-03 17:00:00,65.0,14.0,56.0,30.12,10.0
65,2019-11-03 18:00:00,61.0,8.0,65.0,30.13,10.0
66,2019-11-03 19:00:00,60.0,7.0,67.0,30.13,10.0
67,2019-11-03 20:00:00,59.0,6.0,69.0,30.12,10.0
68,2019-11-03 21:00:00,57.0,7.0,72.0,30.11,10.0
69,2019-11-03 22:00:00,57.0,5.0,72.0,30.1,10.0
70,2019-11-03 23:00:00,56.0,6.0,77.0,30.09,10.0
71,2019-11-04 00:00:00,56.0,5.0,81.0,30.07,10.0
72,2019-11-04 01:00:00,58.0,7.0,81.0,30.06,10.0
73,2019-11-04 02:00:00,58.0,7.0,84.0,30.05,10.0
74,2019-11-04 03:00:00,58.0,6.0,84.0,30.05,10.0
75,2019-11-04 04:00:00,59.0,3.0,87.0,30.04,10.0
76,2019-11-04 05:00:00,59.0,3.0,90.0,30.04,10.0
77,2019-11-04 06:00:00,60.0,5.0,90.0,30.04,10.0
78,2019-11-04 07:00:00,61.0,5.0,90.0,30.05,10.0
79,2019-11-04 08:00:00,63.0,5.0,87.0,30.06,10.0
80,2019-11-04 09:00:00,64.0,3.0,87.0,30.07,10.0
81,2019-11-04 10:00:00,65.0,5.0,87.0,30.08,10.0
82,2019-11-04 11:00:00,70.0,7.0,76.0,30.06,10.0
83,2019-11-04 12:00:00,72.0,8.0,73.0,30.05,10.0
84,2019-11-04 13:00:00,77.0,13.0,69.0,30.01,10.0
85,2019-11-04 14:00:00,76.0,14.0,69.0,29.99,10.0
86,2019-11-04 15:00:00,76.0,13.0,69.0,29.98,10.0
87,2019-11-04 16:00:00,76.0,9.0,69.0,29.98,10.0
88,2019-11-04 17:00:00,65.75,7.0625,80.75,30.038125,10.0
89,2019-11-04 18:00:00,65.75,7.0625,80.75,30.038125,10.0
90,2019-11-04 19:00:00,65.75,7.0625,80.75,30.038125,10.0
91,2019-11-04 20:00:00,65.75,7.0625,80.75,30.038125,10.0
92,2019-11-04 21:00:00,65.75,7.0625,80.75,30.038125,10.0
93,2019-11-04 22:00:00,65.75,7.0625,80.75,30.038125,10.0
94,2019-11-05 00:00:00,65.75,7.0625,80.75,30.038125,10.0
95,2019-11-05 01:00:00,75.52941176470588,6.823529411764706,79.05882352941177,30.15176470588235,9.823529411764707
96,2019-11-05 02:00:00,75.52941176470588,6.823529411764706,79.05882352941177,30.15176470588235,9.823529411764707
97,2019-11-05 03:00:00,75.52941176470588,6.823529411764706,79.05882352941177,30.15176470588235,9.823529411764707
98,2019-11-05 04:00:00,75.52941176470588,6.823529411764706,79.05882352941177,30.15176470588235,9.823529411764707
99,2019-11-05 05:00:00,75.52941176470588,6.823529411764706,79.05882352941177,30.15176470588235,9.823529411764707
100,2019-11-05 06:00:00,66.0,5.0,100.0,30.09,7.0
101,2019-11-05 07:00:00,75.52941176470588,6.823529411764706,79.05882352941177,30.15176470588235,9.823529411764707
102,2019-11-05 08:00:00,75.52941176470588,6.823529411764706,79.05882352941177,30.15176470588235,9.823529411764707
103,2019-11-05 09:00:00,73.0,5.0,89.0,30.15,10.0
104,2019-11-05 10:00:00,77.0,6.0,83.0,30.16,10.0
105,2019-11-05 11:00:00,81.0,6.0,74.0,30.17,10.0
106,2019-11-05 12:00:00,81.0,6.0,70.0,30.15,10.0
107,2019-11-05 13:00:00,82.0,7.0,62.0,30.11,10.0
108,2019-11-05 14:00:00,81.0,9.0,70.0,30.1,10.0
109,2019-11-05 15:00:00,81.0,6.0,70.0,30.11,10.0
110,2019-11-05 16:00:00,81.0,8.0,70.0,30.12,10.0
111,2019-11-05 17:00:00,79.0,10.0,74.0,30.13,10.0
112,2019-11-05 18:00:00,75.0,8.0,79.0,30.14,10.0
113,2019-11-05 19:00:00,74.0,9.0,76.0,30.16,10.0
114,2019-11-05 20:00:00,73.0,6.0,79.0,30.18,10.0
115,2019-11-05 21:00:00,71.0,7.0,84.0,30.19,10.0
116,2019-11-05 22:00:00,70.0,7.0,87.0,30.2,10.0
117,2019-11-05 23:00:00,69.0,6.0,90.0,30.21,10.0
118,2019-11-06 00:00:00,70.0,5.0,87.0,30.21,10.0
119,2019-11-06 01:00:00,70.0,7.0,87.0,30.2,10.0
120,2019-11-06 02:00:00,69.0,6.0,90.0,30.19,10.0
121,2019-11-06 03:00:00,67.0,7.0,93.0,30.18,10.0
122,2019-11-06 04:00:00,66.0,7.0,93.0,30.19,10.0
123,2019-11-06 05:00:00,66.0,5.0,93.0,30.19,10.0
124,2019-11-06 06:00:00,65.0,3.0,94.0,30.2,10.0
125,2019-11-06 07:00:00,65.0,5.0,91.0,30.22,10.0
126,2019-11-06 08:00:00,68.0,7.0,84.0,30.23,10.0
127,2019-11-06 09:00:00,71.0,9.0,78.0,30.24,10.0
128,2019-11-06 10:00:00,76.0,10.0,69.0,30.25,10.0
129,2019-11-06 11:00:00,78.0,9.0,62.0,30.23,10.0
130,2019-11-06 12:00:00,79.0,8.0,60.0,30.19,10.0
131,2019-11-06 13:00:00,80.0,8.0,60.0,30.16,10.0
132,2019-11-06 14:00:00,82.0,9.0,56.0,30.13,10.0
133,2019-11-06 15:00:00,80.0,10.0,56.0,30.12,10.0
134,2019-11-06 16:00:00,79.0,10.0,47.0,30.11,10.0
135,2019-11-06 17:00:00,76.0,9.0,50.0,30.12,10.0
136,2019-11-06 18:00:00,73.0,8.0,51.0,30.12,10.0
137,2019-11-06 19:00:00,71.0,8.0,51.0,30.13,10.0
138,2019-11-06 20:00:00,69.0,6.0,59.0,30.13,10.0
139,2019-11-06 21:00:00,67.0,6.0,71.0,30.13,10.0
140,2019-11-06 22:00:00,67.0,6.0,79.0,30.13,10.0
141,2019-11-06 23:00:00,65.0,3.0,87.0,30.11,10.0
142,2019-11-07 00:00:00,64.0,5.0,90.0,30.1,10.0
143,2019-11-07 01:00:00,60.0,3.0,93.0,30.09,8.0
144,2019-11-07 02:00:00,62.0,3.0,96.0,30.09,8.0
145,2019-11-07 03:00:00,61.0,3.0,100.0,30.08,5.0
146,2019-11-07 04:00:00,61.0,5.0,97.0,30.08,4.0
147,2019-11-07 05:00:00,64.0,5.0,97.0,30.08,5.0
148,2019-11-07 06:00:00,65.0,6.0,97.0,30.1,7.0
149,2019-11-07 07:00:00,66.0,5.0,93.0,30.11,5.0
150,2019-11-07 08:00:00,66.0,5.0,96.0,30.11,4.0
151,2019-11-07 09:00:00,71.0,5.0,90.0,30.13,6.0
152,2019-11-07 10:00:00,74.0,5.0,88.0,30.12,8.0
153,2019-11-07 11:00:00,74.0,3.0,88.0,30.11,9.0
154,2019-11-07 12:00:00,71.0,10.0,96.0,30.09,2.0
155,2019-11-07 13:00:00,69.0,15.0,96.0,30.09,4.0
156,2019-11-07 14:00:00,68.0,15.0,96.0,30.07,2.0
157,2019-11-07 15:00:00,65.0,10.0,97.0,30.09,3.0
158,2019-11-07 16:00:00,65.0,10.0,97.0,30.12,3.0
159,2019-11-07 17:00:00,65.0,8.0,97.0,30.14,2.0
160,2019-11-07 18:00:00,65.0,10.0,97.0,30.15,9.0
161,2019-11-07 19:00:00,60.0,16.0,96.0,30.19,10.0
162,2019-11-07 20:00:00,58.0,17.0,93.0,30.21,10.0
163,2019-11-07 21:00:00,55.0,14.0,96.0,30.23,10.0
164,2019-11-07 22:00:00,54.0,15.0,93.0,30.24,10.0
165,2019-11-07 23:00:00,53.0,12.0,93.0,30.25,10.0
166,2019-11-08 00:00:00,52.0,16.0,97.0,30.25,10.0
167,2019-11-08 01:00:00,51.0,13.0,92.0,30.24,9.0
168,2019-11-08 02:00:00,50.0,14.0,96.0,30.24,8.0
169,2019-11-08 03:00:00,50.0,15.0,93.0,30.25,10.0
170,2019-11-08 04:00:00,51.0,13.0,92.0,30.25,10.0
171,2019-11-08 05:00:00,51.0,13.0,92.0,30.25,10.0
172,2019-11-08 06:00:00,52.0,13.0,93.0,30.27,10.0
173,2019-11-08 07:00:00,52.0,12.0,97.0,30.28,10.0
174,2019-11-08 08:00:00,53.0,15.0,93.0,30.29,10.0
175,2019-11-08 09:00:00,53.0,17.0,93.0,30.3,10.0
176,2019-11-08 10:00:00,53.0,13.0,93.0,30.3,10.0
177,2019-11-08 11:00:00,53.0,12.0,89.0,30.32,10.0
178,2019-11-08 12:00:00,53.0,16.0,86.0,30.31,10.0
179,2019-11-08 13:00:00,53.0,8.0,86.0,30.28,10.0
180,2019-11-08 14:00:00,53.0,13.0,89.0,30.27,10.0
181,2019-11-08 15:00:00,53.0,13.0,86.0,30.26,10.0
182,2019-11-08 16:00:00,53.0,13.0,86.0,30.26,10.0
183,2019-11-08 17:00:00,53.0,8.0,86.0,30.27,10.0
184,2019-11-08 18:00:00,53.0,9.0,86.0,30.27,10.0
185,2019-11-08 19:00:00,53.0,9.0,83.0,30.29,10.0
